Date,Unemployment_Rate
Feb-78,7.5
Mar-78,6.6
Apr-78,6.2
May-78,6.2
Jun-78,6.1
Jul-78,5.9
Aug-78,6.2
Sep-78,6
Oct-78,5.8
Nov-78,5.8
Dec-78,6.8
Jan-79,7
Feb-79,7
Mar-79,6.6
Apr-79,6.5
May-79,6.2
Jun-79,6.1
Jul-79,6
Aug-79,5.8
Sep-79,6.1
Oct-79,6
Nov-79,5.5
Dec-79,6.4
Jan-80,6.7
Feb-80,6.7
Mar-80,6.2
Apr-80,6.2
May-80,6.2
Jun-80,6.1
Jul-80,5.8
Aug-80,5.9
Sep-80,6
Oct-80,5.7
Nov-80,5.4
Dec-80,6.3
Jan-81,6.5
Feb-81,6.3
Mar-81,6
Apr-81,5.6
May-81,5.6
Jun-81,5.2
Jul-81,5.6
Aug-81,5.6
Sep-81,5.7
Oct-81,5.5
Nov-81,5.5
Dec-81,6.3
Jan-82,6.5
Feb-82,7.1
Mar-82,6.7
Apr-82,6.4
May-82,6.6
Jun-82,6.6
Jul-82,6.6
Aug-82,6.7
Sep-82,7.3
Oct-82,7.8
Nov-82,8
Dec-82,9.6
Jan-83,10.1
Feb-83,10.7
Mar-83,10.4
Apr-83,10.2
May-83,10.3
Jun-83,10
Jul-83,9.8
Aug-83,9.9
Sep-83,10.2
Oct-83,9.3
Nov-83,8.9
Dec-83,9.7
Jan-84,10.3
Feb-84,10.4
Mar-84,9.7
Apr-84,9.4
May-84,8.9
Jun-84,8.9
Jul-84,8.4
Aug-84,8.5
Sep-84,8.6
Oct-84,8.1
Nov-84,8
Dec-84,8.6
Jan-85,9.3
Feb-85,9.3
Mar-85,9.2
Apr-85,8.5
May-85,8.4
Jun-85,8.4
Jul-85,7.8
Aug-85,7.9
Sep-85,8
Oct-85,7.3
Nov-85,7.3
Dec-85,7.9
Jan-86,8.5
Feb-86,8.8
Mar-86,8.4
Apr-86,8
May-86,7.8
Jun-86,7.4
Jul-86,7.9
Aug-86,8
Sep-86,8.2
Oct-86,7.8
Nov-86,7.7
Dec-86,8.4
Jan-87,8.9
Feb-87,9.1
Mar-87,9
Apr-87,8.4
May-87,8.2
Jun-87,7.8
Jul-87,7.8
Aug-87,7.8
Sep-87,7.7
Oct-87,7.5
Nov-87,7.3
Dec-87,7.8
Jan-88,8.3
Feb-88,8.2
Mar-88,8
Apr-88,8
May-88,7.5
Jun-88,7.2
Jul-88,6.6
Aug-88,6.8
Sep-88,6.9
Oct-88,6.4
